uid,FTO,language
catalan-10-061-158958,225,Catalan
catalan-10-072-182650,224,Catalan
catalan-10-088-220006,452,Catalan
catalan-10-091-226656,350.0000000000291,Catalan
catalan-10-102-257350,508.0000000000582,Catalan
catalan-10-119-307054,952,Catalan
catalan-10-129-328094,4972,Catalan
catalan-10-136-341158,876,Catalan
catalan-10-138-343094,-100,Catalan
catalan-10-154-388158,92,Catalan
catalan-10-180-447546,52,Catalan
catalan-11-007-20486,-356,Catalan
catalan-11-037-117342,776,Catalan
catalan-11-044-137662,4332,Catalan
catalan-11-060-173310,228,Catalan
catalan-11-068-198790,940,Catalan
catalan-11-081-230302,48,Catalan
catalan-11-085-235784,166,Catalan
catalan-11-088-239021,1827,Catalan
catalan-11-094-253648,4446,Catalan
catalan-11-097-261226,752,Catalan
catalan-11-100-268782,835,Catalan
catalan-11-102-272516,74,Catalan
catalan-11-104-280422,524,Catalan
catalan-11-118-311382,108,Catalan
catalan-11-159-413016,1790,Catalan
catalan-11-170-446029,227,Catalan
catalan-11-189-488054,-436,Catalan
catalan-11-192-492230,369,Catalan
catalan-11-194-494198,402,Catalan
catalan-11-200-506019,182,Catalan
catalan-11-202-509944,-106,Catalan
catalan-12-003-2870,116,Catalan
catalan-12-007-20118,218,Catalan
catalan-12-009-21758,244,Catalan
catalan-12-027-60950,540,Catalan
catalan-12-035-78910,972,Catalan
catalan-12-041-95126,-92,Catalan
catalan-12-047-110126,445,Catalan
catalan-12-057-138830,539.9999999999709,Catalan
catalan-12-075-183070,636,Catalan
catalan-12-077-187598,1436,Catalan
catalan-12-091-220343,55.000000000029104,Catalan
catalan-12-095-231062,190,Catalan
catalan-12-122-298907,687,Catalan
catalan-12-132-326838,844,Catalan
catalan-12-141-352894,396,Catalan
catalan-12-146-362801,527,Catalan
catalan-12-154-385526,-13,Catalan
catalan-13-005-11213,306,Catalan
catalan-13-092-211990,2077,Catalan
catalan-13-165-390815,-427,Catalan
catalan-13-185-432182,300,Catalan
catalan-13-187-433334,740,Catalan
catalan-13-212-474469,4807,Catalan
catalan-13-228-528291,-2586.0000000001164,Catalan
catalan-13-292-680598,260,Catalan
catalan-13-299-690204,10,Catalan
catalan-14-006-10601,-37,Catalan
catalan-14-074-254782,516,Catalan
catalan-14-076-260625,4236,Catalan
catalan-14-082-279549,187,Catalan
catalan-14-116-394638,516,Catalan
catalan-14-121-403692,-3544,Catalan
catalan-14-153-525987,279,Catalan
catalan-15-007-24878,412,Catalan
catalan-15-023-96782,100,Catalan
catalan-15-026-107902,905.9999999999854,Catalan
catalan-15-030-126814,1156,Catalan
catalan-15-043-160558,361,Catalan
catalan-15-058-199294,884,Catalan
catalan-15-075-260166,84,Catalan
catalan-15-079-273950,1188,Catalan
catalan-15-088-310246,1780,Catalan
catalan-15-090-317526,1676,Catalan
catalan-15-101-357560,284,Catalan
catalan-16-004-11294,732,Catalan
catalan-16-011-35390,580,Catalan
catalan-16-013-41694,252,Catalan
catalan-16-037-114958,3.999999999985448,Catalan
catalan-16-064-205990,932,Catalan
catalan-16-072-228566,786,Catalan
catalan-16-136-443710,1164,Catalan
catalan-17-005-9486,132,Catalan
catalan-17-007-12542,277,Catalan
catalan-17-024-54191,557,Catalan
catalan-17-030-65238,-620,Catalan
catalan-17-036-76494,212,Catalan
catalan-17-057-123878,-5291.999999999985,Catalan
catalan-17-062-136489,-953,Catalan
catalan-17-069-145726,508,Catalan
catalan-17-133-285151,333,Catalan
catalan-17-135-287137,1000,Catalan
catalan-17-147-312087,807,Catalan
catalan-17-155-321662,972,Catalan
catalan-17-184-404142,-748,Catalan
catalan-17-190-413990,-116,Catalan
catalan-17-219-478647,325,Catalan
catalan-17-231-497662,492,Catalan
catalan-17-233-499918,2748,Catalan
catalan-17-244-524806,1276,Catalan
catalan-17-260-557614,388,Catalan
catalan-17-263-563846,548,Catalan
catalan-17-272-574237,-6526,Catalan
catalan-17-285-605046,412,Catalan
catalan-17-305-643788,-4723,Catalan
catalan-17-311-650646,988,Catalan
catalan-17-317-665598,388,Catalan
catalan-17-337-715014,516,Catalan
catalan-17-343-724356,1074,Catalan
catalan-17-345-731142,276,Catalan
catalan-17-349-745342,484,Catalan
catalan-17-354-753014,729,Catalan
catalan-17-390-832387,5573,Catalan
catalan-17-395-844688,6030,Catalan
catalan-17-411-873038,1476,Catalan
catalan-17-423-890342,-1470,Catalan
catalan-17-446-938303,77,Catalan
catalan-17-455-954398,-756,Catalan
catalan-19-009-29893,-4522,Catalan
catalan-19-025-64958,740,Catalan
catalan-19-048-137174,-1204,Catalan
catalan-19-068-208837,-269,Catalan
catalan-19-089-267158,740,Catalan
catalan-19-099-296582,-284,Catalan
catalan-19-107-323758,-865,Catalan
catalan-19-111-337774,2796,Catalan
catalan-19-113-342966,-1940,Catalan
catalan-19-115-346870,460.0000000000582,Catalan
catalan-19-133-412974,2940,Catalan
catalan-19-144-439450,375,Catalan
catalan-19-148-456590,652.0000000000582,Catalan
catalan-19-159-486086,-92,Catalan
catalan-19-163-497358,8556,Catalan
catalan-20-006-15158,380,Catalan
catalan-20-023-46243,-187,Catalan
catalan-20-028-54886,164,Catalan
catalan-20-038-79022,-1877.0000000000143,Catalan
catalan-20-046-103990,2476,Catalan
catalan-20-057-144542,308,Catalan
catalan-20-064-180879,-131,Catalan
catalan-20-070-204495,53,Catalan
catalan-20-077-225393,135,Catalan
catalan-20-087-262192,-1386,Catalan
catalan-20-093-274054,-1859,Catalan
catalan-20-106-311114,552,Catalan
catalan-20-113-331178,336,Catalan
catalan-20-127-357808,606,Catalan
catalan-20-131-370144,110,Catalan
catalan-20-139-385410,3408,Catalan
catalan-20-145-405438,-2516,Catalan
catalan-20-159-432526,-124,Catalan
catalan-20-163-439739,81,Catalan
catalan-20-170-458230,292,Catalan
catalan-20-180-480475,289,Catalan
catalan-20-186-491104,-106,Catalan
catalan-20-194-506703,573,Catalan
catalan-20-196-510879,-163.0000000000582,Catalan
catalan-20-204-532982,-3884,Catalan
catalan-20-208-542190,-5604,Catalan
catalan-20-215-557055,3341,Catalan
catalan-20-218-570800,134,Catalan
catalan-20-227-583578,156,Catalan
catalan-21-005-12510,-2502,Catalan
catalan-21-008-23662,-91,Catalan
catalan-21-015-41974,1685,Catalan
catalan-21-030-73873,474,Catalan
catalan-21-036-83566,-284,Catalan
catalan-21-042-92629,274.99999999998545,Catalan
catalan-21-059-136222,1164,Catalan
catalan-21-068-168494,-1212.000000000029,Catalan
catalan-21-077-185930,610,Catalan
catalan-21-085-196909,-1181,Catalan
catalan-21-109-255158,1081,Catalan
catalan-21-132-301790,973,Catalan
catalan-21-138-317806,1044,Catalan
catalan-21-143-324944,470,Catalan
catalan-22-003-8310,572,Catalan
catalan-22-010-32702,135,Catalan
catalan-22-012-37867,-439,Catalan
catalan-22-026-80618,288.99999999998545,Catalan
catalan-22-031-94710,700.0000000000291,Catalan
catalan-22-052-153078,-84,Catalan
catalan-22-057-162054,20,Catalan
catalan-22-071-194870,420,Catalan
catalan-22-082-222650,-1280,Catalan
catalan-22-085-229086,300,Catalan
catalan-22-087-235622,284,Catalan
catalan-22-096-266062,28,Catalan
catalan-22-119-330343,-2763,Catalan
catalan-22-129-346708,-630.0000000000582,Catalan
catalan-22-136-361166,-668,Catalan
